code_commune,ville,code_dept,code_postal,latitude,longitude,population,surface_km2,densite_hab_km2,type_commune,score_fragilite,score_emergence,score_freins_invisibles,score_momentum,potentiel_investissement,risque_credit_local,classe_risque,segment,fragilite_fiable,score_desert_medical,niveau_desert_medical,score_desert_commercial,niveau_desert_commercial,nb_entreprises_actives,nb_entreprises_total,taux_survie_entreprises,entreprises_1000hab,dynamique_eco,nb_gares,gares_10k_hab,prix_m2_median,nb_transactions,taux_chomage,revenu_median,taux_pauvrete,nb_medecin_generaliste,nb_medecin_specialiste,nb_pharmacie,nb_hopital,nb_urgences,nb_infirmier,nb_dentiste,nb_kinesitherapeute,medecins_10k_hab,est_desert_medical,nb_supermarche,nb_epicerie,nb_boulangerie,nb_banque,nb_poste,nb_boucherie,nb_ecole_primaire,nb_college,nb_lycee,est_desert_commercial,donnees_insee_simulees,donnees_bpe_simulees
91001,Abbéville-la-Rivière,91,91150,48.3369,2.197,322,15.0458,21.4013,rural_isole,0.614,0.3164,0.7487,0.474,0.294,0.5228,ELEVE,territoire_bloque,true,0.7108,DÉSERT,0.6373,SOUS-DOTÉ,6,6,1,18.6335,100,0,0,1891,3,11.7418,1621.3159,12.3774,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,true,true
91016,Angerville,91,91670,48.3116,2.0057,4428,25.8043,171.5993,rural,0.4311,0.3356,0.6765,0.3865,0.2845,0.5886,ELEVE,territoire_stable,true,0.7078,DÉSERT,0.7032,DÉSERT,197,251,0.7849,44.4896,56.9721,0,0,3783,15,8.6543,1876.2468,15.7121,2,1,2,0,0,3,1,1,4.5167,0,1,1,1,1,1,1,4,0,0,0,true,true
91017,Angervilliers,91,91470,48.5916,2.0593,1772,9.1083,194.5478,rural,0.4862,0.3357,0.7045,0.4568,0.3031,0.5253,ELEVE,territoire_stable,true,0.7049,DÉSERT,0.7322,DÉSERT,59,65,0.9077,33.2957,81.5385,0,0,2448,16,10.6192,1966.4388,12.3528,1,0,1,0,0,1,1,0,5.6433,0,0,0,0,1,0,1,1,1,0,1,true,true
91021,Arpajon,91,91290,48.5894,2.2462,11698,2.3882,4898.2497,urbain,0.5481,0.2102,0.7525,0.2725,0.2502,0.6859,ELEVE,territoire_stable,true,0.6706,SOUS-DOTÉ,0.7526,DÉSERT,192,252,0.7619,16.4131,52.381,2,1.7097,3844,30,14.8076,1649.9259,11.0221,14,5,4,0,0,9,4,5,11.9679,0,2,4,4,3,2,3,7,1,1,0,true,true
91022,Arrancourt,91,91690,48.3279,2.1489,115,7.5763,15.1789,rural_isole,0.6229,0.5077,0.554,0.567,0.4178,0.4587,MODERE,territoire_fragile,true,0.5,CORRECT,0.55,SOUS-DOTÉ,2,2,1,17.3913,100,3,20,1839,1,9.9146,1566.3747,15.737,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,true,true
91027,Athis-Mons,91,91200,48.7093,2.3848,36613,8.606,4254.3574,urbain,0.4868,0.4875,0.6041,0.5192,0.4421,0.5026,ELEVE,territoire_stable,true,0.6932,SOUS-DOTÉ,0.7552,DÉSERT,2126,2392,0.8888,58.0668,77.7592,0,0,2689,222,10.4147,1831.2637,12.2146,41,18,12,2,0,24,12,14,11.1982,0,8,12,15,9,6,9,24,5,3,0,true,true
91035,Authon-la-Plaine,91,91410,48.456,1.9545,368,10.4913,35.0767,rural_isole,0.8871,0.494,0.6429,0.4809,0.3778,0.5996,ELEVE,territoire_fragile,true,0.1488,BIEN_DOTÉ,0.5503,SOUS-DOTÉ,4,4,1,10.8696,100,2,20,2452,2,14.448,1486.6677,23.905,1,1,0,0,0,0,1,0,27.1739,0,0,0,0,0,0,1,0,0,0,1,true,true
91037,Auvernaux,91,91830,48.5274,2.4898,332,6.5037,51.0479,rural,0.4958,0.1937,0.7329,0.3068,0.1967,0.6288,ELEVE,territoire_stable,true,0.3676,CORRECT,0.7505,DÉSERT,8,10,0.8,24.0964,60,0,0,2563,2,10.9186,2191.3636,18.0857,1,0,1,0,0,0,1,0,30.1205,0,0,0,0,0,0,0,1,0,0,1,true,true
91038,Auvers-Saint-Georges,91,91580,48.4745,2.2229,1223,12.7379,96.0127,rural,0.4256,0.5072,0.468,0.5082,0.4095,0.4776,MODERE,territoire_stable,true,0.5557,SOUS-DOTÉ,0.5877,SOUS-DOTÉ,60,72,0.8333,49.0597,66.6667,2,16.3532,2116,5,7.8263,1851.2454,14.9721,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,true,true
91041,Avrainville,91,91630,48.5543,2.2437,1052,9.2815,113.3437,rural,0.6243,0.1429,0.7901,0.2534,0.1554,0.6922,ELEVE,territoire_bloque,true,0.6236,SOUS-DOTÉ,0.6479,SOUS-DOTÉ,22,27,0.8148,20.9125,62.963,0,0,1218,3,10.3564,1434.779,20.1798,1,1,0,0,0,2,1,0,9.5057,0,1,0,0,1,0,0,1,0,0,0,true,true
